,DC.C01.4861,DC.C01.4811,DC.C01.3000,DC.C01.1000,DC.C01.900,DC.C01N.120,DC.C01.80,DC.C01.5,DC.C14.4183,DC.C14.4138,DC.C14.2000,DC.C14N.1000,DC.C14.150,DC.C14.120,DC.C14.70,DC.C14.5,DC2.R04C06.05to1,DC2.R04C06.0to05,DC2.R04C06.10to15r,DC2.R04C06.1to5,DC2.R04C06.5to10,DC2.R14C27.05to1,DC2.R14C27.0to05,DC2.R14C27.10to15,DC2.R14C27.1to5,DC2.R14C27.5to10
sp104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018398,0.00312722,0,0.00141443,0.0009915,0.00070932,0.00155785,0.00014156,0.00084938,0.00014134
sp105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018398,0.00071073,0.00254309,0.00226308,0.00254958,0.00156051,0.00325733,0.00169875,0.00141563,0.00240283
sp106,0.00576896,0.0080135,0.01124701,0.00211,0.00126476,0,0,0,0.01195163,0.01673699,0.00646249,0.00154494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212284,0.00113717,0.00720543,0.00353607,0.00609065,0.00184423,0.00198272,0.00368063,0.00169875,0.00325088
sp108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141523,0.00383795,0,0.0009901,0,0.00070932,0.00028325,0,0,0
sp109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0.00056513,0.00014144,0.00028329,0.00397219,0.00424869,0.00835221,0.0060872,0.00621908
sp110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018398,0.00014215,0.00565131,0.00452617,0.00538244,0.0035466,0.0018411,0.0011325,0.00268969,0.00339223
sp111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014164,0.00028373,0.00028325,0,0.00028313,0.00028269
sp112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127371,0.00170576,0,0,0.00014164,0.00014186,0,0,0,0
sp113,0,0,0,0,0,0.00660762,0.0149002,0.01910381,0,0,0,0,0,0,0.0376669,0.02640449,0,0,0,0,0,0,0,0,0,0
sp114,0,0,0,0,0,0,0,0,0.0037964,0.00295359,0.00295027,0,0,0.00070363,0,0.0011236,0.00014152,0.00099502,0.00042385,0,0,0,0,0,0,0
sp115,0.00056283,0.0011247,0.00084353,0,0,0,0,0,0.0018279,0.002391,0.00042147,0,0,0,0,0,0.00155675,0.00412225,0.00070641,0.00155587,0.00155807,0.00156051,0.00084974,0.00042469,0.00084938,0.00028269
sp116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00254741,0.00099502,0.00536875,0.00268741,0.00495751,0.00099305,0.00169948,0.00155719,0.00198188,0.00141343
